               #Throat_ID        Throat_Radius(mic)        Throat_Length(mic)                 Pore_ID_1                 Pore_ID_2      Hydrolic_Cond(mic^3)   Throat_Radius_Insc(mic) 
                       89                   3.77244                  47.33731                        29                        86                   5.76034                   7.07107 
                       90                  19.64431                  59.00006                        37                        86                 206.21400                  11.18034 
                       91                  18.84858                  53.92089                        86                        85                 448.14441                  12.24745 
                       92                  10.07294                  48.00037                        87                        85                 148.40345                  11.18034 
                       93                  21.82040                  39.19501                        86                        87                 990.83254                  15.81139 
                       94                   4.56879                  38.91822                        89                        15                  12.18513                   8.66025 
                       95                   9.28977                  57.39167                        90                        18                 307.50771                  16.58312 
                       96                  13.71171                  47.41465                        90                        22                 286.38005                  15.81139 
                       97                  20.86543                  34.18335                        90                        23                1206.27894                  15.00000 
                       98                   2.37996                  56.48990                        30                        90                   0.19523                   5.00000 
                       99                  14.48450                  51.54189                        33                        90                 142.51633                  12.24745 
                      100                  20.27963                  25.42255                        91                        85                1352.16105                  15.00000 
                      101                  10.77532                  35.83429                        87                        91                  88.94953                   8.66025 
                      102                  10.05529                  52.09212                        92                        35                   8.32933                   7.07107 
                      103                  22.83623                  43.64782                        36                        92                 601.33706                  14.14214 
                      104                   4.71403                  59.01068                        48                        92                   0.73323                   5.00000 
                      105                   4.71944                  50.28434                        93                        52                   5.71567                   7.07107 
                      106                   7.87817                  30.72615                        63                        93                  20.13912                   7.07107 
                      107                   9.22652                  64.21586                         7                        95                  13.28887                   8.66025 
                      108                  12.91417                  59.97701                        96                         3                  39.57188                   8.66025 
                      109                  28.19622                  49.37023                        11                        96                1427.69852                  18.70829 
                      110                   7.34111                  75.28516                        18                        96                  17.48501                  10.00000 
                      111                  15.89907                  58.53600                        97                        16                 147.14992                  10.00000 
                      112                  17.38788                  43.23534                        97                        18                 664.06369                  16.58312 
                      113                   6.90337                  56.35060                        22                        97                  43.74763                  12.24745 
                      114                  18.61196                  52.83688                        90                        97                 339.48690                  14.14214 
                      115                  21.10133                  56.56961                        97                        96                 292.94983                  12.24745 
                      116                   6.65689                  48.87681                        83                        98                   1.76533                   5.00000 
                      117                  23.87435                  58.03069                        99                        16                 320.48886                  11.18034 
                      118                  13.19783                  63.22324                        22                        99                  50.52122                   8.66025 
                      119                   3.61255                  55.89544                        99                        97                   0.45461                   5.00000 
                      120                  17.28477                  38.94274                        47                       100                 289.41972                  14.14214 
