               #Throat_ID        Throat_Radius(mic)        Throat_Length(mic)                 Pore_ID_1                 Pore_ID_2      Hydrolic_Cond(mic^3)   Throat_Radius_Insc(mic) 
                      346                   8.42212                  76.51454                       174                       198                  19.80288                   7.07107 
                      347                   9.09575                  73.37703                       199                       128                  12.12887                   7.07107 
                      348                  10.84267                  58.71331                       170                       199                   7.95404                   7.07107 
                      349                  21.27371                  55.78325                       199                       173                 478.43157                  15.00000 
                      350                  22.02778                  53.84386                       203                       106                1051.44866                  18.02776 
                      351                  22.73085                  67.12715                       122                       203                1004.32346                  15.81139 
                      352                   5.43238                  71.91751                       143                       203                   9.56479                  10.00000 
                      353                   7.85713                  79.91877                       203                       175                   7.70152                   7.07107 
                      354                  13.80622                  48.64357                       203                       194                 151.24795                  12.24745 
                      355                   3.39874                  43.38368                       202                       203                   0.51844                   5.00000 
                      356                  27.24971                  53.05772                       140                       204                 825.59553                  14.14214 
                      357                  17.38554                  46.44488                       182                       204                 126.71989                   8.66025 
                      358                   7.96958                  78.01890                       195                       204                  27.44453                  11.18034 
                      359                   5.48619                  84.77331                       205                       122                  23.91872                  11.18034 
                      360                  11.67287                  51.41360                       143                       205                 132.33945                  14.14214 
                      361                   9.72688                  51.81883                       161                       205                  18.20360                   7.07107 
                      362                   9.32530                  57.47086                       205                       203                  69.54187                  12.24745 
                      363                   8.06013                  39.45937                       206                       150                  29.07273                   8.66025 
                      364                  17.44168                  59.45807                       154                       207                 269.96761                  12.24745 
                      365                  13.28714                  54.20895                       208                       195                  72.32439                   8.66025 
                      366                   4.73266                  94.90173                       209                       152                   3.04547                   7.07107 
                      367                  17.64643                  64.66473                       209                       153                 234.43136                  12.24745 
                      368                   8.91283                  83.52878                       102                       210                  17.36194                   8.66025 
                      369                   6.24405                  60.00722                       210                       153                  15.04996                   7.07107 
                      370                   5.45477                  54.26494                       187                       210                   5.46678                   7.07107 
                      371                   6.05891                  80.76708                       210                       195                   3.75984                   7.07107 
                      372                   6.89265                  82.89088                       210                       208                   4.10718                   7.07107 
                      373                  18.02251                  51.82392                       210                       209                 341.31133                  14.14214 
                      374                   8.83735                  83.95221                       137                       212                  10.13728                   8.66025 
                      375                  18.03109                  61.26954                       212                       168                 306.85549                  12.24745 
                      376                   4.39594                  71.98086                       176                       212                   0.52272                   5.00000 
                      377                   3.95201                  65.35275                       200                       212                   0.46533                   5.00000 
                      378                  11.81759                  82.99967                       130                       213                  33.34760                   8.66025 
                      379                  12.06903                  71.40733                       213                       158                  65.50940                  10.00000 
                      380                   2.80748                  37.25968                       213                       159                   0.41189                   5.00000 
                      381                   3.96820                  63.84567                       214                       159                   0.48022                   5.00000 
                      382                  14.82757                  55.40851                       160                       214                  87.00465                  10.00000 
                      383                  31.36883                  40.73501                       214                       213                1425.52092                  15.00000 
                      384                  21.08087                  57.48517                       215                       140                 462.44262                  12.24745 
                      385                  11.94097                  65.08322                       195                       215                  74.72582                  11.18034 
                      386                  13.72846                  65.97767                       215                       204                 102.27763                  11.18034 
                      387                  13.17796                  80.99912                       216                       125                  56.14145                  11.18034 
                      388                  16.90975                  69.65196                       216                       126                 172.10727                  12.24745 
                      389                  11.25319                  57.23415                       189                       216                  87.50283                  11.18034 
                      390                   8.94253                  66.59945                       190                       217                   5.67885                   7.07107 
                      391                   1.82000                  51.83831                       218                       216                   0.45790                   7.07107 
                      392                  18.84282                  52.20516                       181                       219                 314.36308                  12.24745 
                      393                   7.49189                  63.75200                       176                       220                   1.71425                   5.00000 
                      394                  11.22829                  56.12087                       222                       216                  27.31322                   7.07107 
                      395                  18.46183                  59.31874                       223                       128                 147.24701                  11.18034 
                      396                  13.19840                  59.45831                       199                       223                  54.92707                   8.66025 
                      397                  12.28204                  72.46798                       214                       223                  31.67406                   8.66025 
                      398                  14.31173                  50.50644                       224                       129                  37.76200                   7.07107 
                      399                   3.87540                  46.27286                       224                       177                   0.63196                   5.00000 
                      400                  17.59192                  52.36417                       204                       224                 213.33651                  12.24745 
                      401                   8.40146                  57.62378                       225                       161                  11.04997                   7.07107 
                      402                   7.39368                  49.60494                       178                       225                   2.14577                   5.00000 
                      403                   8.30250                  54.09805                       166                       226                   2.48097                   5.00000 
                      404                   4.02562                  50.89323                       226                       225                   0.62000                   5.00000 
                      405                   2.53017                  80.62690                       227                       154                   0.15460                   5.00000 
                      406                  13.78706                  56.80812                       227                       164                  60.33379                   8.66025 
                      407                   7.35662                  41.94686                       227                       211                   2.51213                   5.00000 
                      408                   7.79780                  41.44010                       217                       228                  15.78434                   7.07107 
                      409                  22.35273                  69.17133                       126                       229                 431.35733                  14.14214 
                      410                   7.84669                  52.21158                       155                       229                  15.21684                   7.07107 
                      411                  14.75192                  63.82716                       188                       229                  97.73400                  11.18034 
                      412                   6.90348                  77.73804                       189                       229                  30.10350                  11.18034 
                      413                  12.86900                  79.48628                       229                       210                  51.38889                  10.00000 
                      414                  11.03530                  51.28067                       229                       211                  23.67621                   7.07107 
                      415                  14.83251                  80.09015                       216                       229                 124.16869                  12.24745 
                      416                   2.54906                  67.94599                       227                       229                   0.18620                   5.00000 
                      417                  15.92911                  48.06438                       165                       230                 189.51755                  11.18034 
                      418                   7.73574                  65.81343                       167                       230                  16.39520                   8.66025 
                      419                   4.78806                  70.99975                       231                       190                   8.37466                   7.07107 
                      420                   5.37693                  60.49087                       232                       170                   0.93060                   5.00000 
                      421                   2.74317                  77.48820                       215                       232                   0.18908                   5.00000 
                      422                   6.18732                  80.05149                       130                       233                   3.95594                   7.07107 
                      423                   8.89049                  80.50408                       233                       132                  21.81172                   8.66025 
                      424                  16.90882                  18.81948                       157                       235                 613.81669                  11.18034 
                      425                   9.67423                  81.99466                       128                       236                  39.23879                   8.66025 
                      426                  16.18979                  54.90785                       223                       236                 211.02384                  11.18034 
                      427                   7.27560                  61.32327                       238                       206                   1.68073                   5.00000 
                      428                   6.25672                  72.09721                       238                       233                   1.05721                   5.00000 
                      429                   7.77664                  57.60513                       239                       238                   2.04413                   5.00000 
                      430                   4.37423                  45.19610                       240                       124                  10.98011                   7.07107 
                      431                   8.53122                  60.49280                       220                       243                  27.02689                  10.00000 
                      432                   5.59027                  62.97408                       244                       148                   0.96625                   5.00000 
                      433                   2.31943                  55.32824                       244                       182                   0.18932                   5.00000 
                      434                  19.32514                  57.42333                       204                       244                 497.02724                  14.14214 
                      435                  24.21128                  38.87812                       244                       224                 936.67915                  15.00000 
                      436                  16.91407                  54.62781                       244                       237                 122.53041                  11.18034 
                      437                  11.62372                  96.64647                       190                       245                  12.58209                   8.66025 
                      438                  17.79171                  62.43604                       245                       239                 124.93523                  10.00000 
                      439                  13.50403                  61.79323                       246                       216                  48.00930                   8.66025 
                      440                   4.51961                  49.65324                       247                       193                   0.80101                   5.00000 
                      441                  15.09864                  51.71611                       215                       249                 109.52208                  11.18034 
                      442                  17.81563                  40.59816                       249                       232                 205.60617                  10.00000 
                      443                   3.59303                  57.85685                       250                       215                   0.43446                   5.00000 
                      444                   9.61861                  75.48707                       251                       154                   8.78273                   7.07107 
                      445                  21.78164                  43.08518                       227                       251                 403.05171                  12.24745 
                      446                  12.92439                  80.90496                       146                       252                  59.95253                  11.18034 
                      447                  18.65005                  63.40136                       252                       166                  60.32997                   8.66025 
                      448                   2.62595                  60.25563                       252                       197                   0.22282                   5.00000 
                      449                   9.24047                  57.99258                       216                       253                  15.83870                   7.07107 
                      450                  16.19357                  46.68615                       246                       253                  89.79765                   8.66025 
                      451                   2.49213                  66.95289                       255                       152                   0.18062                   5.00000 
                      452                   6.02905                  49.43626                       255                       182                   1.43165                   5.00000 
                      453                  19.88904                  48.69939                       256                       205                 405.12797                  12.24745 
                      454                  10.35280                  57.23919                       225                       256                  95.13444                  11.18034 
                      455                  19.73252                  66.24644                       207                       257                 275.68841                  11.18034 
                      456                   2.57585                  73.57934                       257                       215                   0.17558                   5.00000 
                      457                  18.03244                  56.39221                       257                       249                 190.73169                  10.00000 
                      458                  17.83544                  55.33061                       195                       258                 309.04193                  12.24745 
                      459                   5.60717                  56.36770                       251                       259                   1.08603                   5.00000 
                      460                  11.61077                  65.65297                       192                       260                  49.22677                   8.66025 
                      461                   7.34336                  38.80031                       236                       261                   8.87905                   7.07107 
                      462                   5.47459                  75.61555                       203                       262                   0.77175                   5.00000 
                      463                  11.57329                  54.10129                       262                       219                  96.20779                  11.18034 
                      464                   7.93628                  70.69731                       263                       154                  20.48766                   8.66025 
                      465                   9.72330                  67.47345                       263                       207                  61.60722                  10.00000 
                      466                  13.21358                  54.88578                       251                       263                  56.27808                  11.18034 
                      467                  14.06634                  55.57993                       263                       257                  65.15828                  10.00000 
                      468                  19.26369                  62.54678                       264                       195                 322.54373                  12.24745 
                      469                  21.75629                  47.34583                       210                       264                 386.30770                  11.18034 
                      470                  11.26898                  66.78581                       264                       258                  42.89495                  10.00000 
                      471                  17.32209                  60.70769                       188                       265                 187.72132                  12.24745 
                      472                  20.72591                  58.30232                       265                       229                  93.93241                   8.66025 
                      473                  17.28371                  57.72443                       260                       265                 203.90261                  12.24745 
                      474                  12.27516                  68.86569                       267                       146                 135.80665                  11.18034 
                      475                  23.88698                  49.19949                       191                       267                 785.26962                  15.81139 
                      476                   8.42402                  75.98048                       267                       252                   1.81854                   5.00000 
                      477                  10.78170                  14.50436                       268                       247                 249.83580                  11.18034 
                      478                  11.21642                  87.56622                       173                       269                  86.31775                  15.00000 
                      479                   6.60974                  62.90130                       269                       198                  25.38070                  10.00000 
                      480                  14.85164                  81.69968                       270                       174                  78.83672                  11.18034 
                      481                  13.22532                  60.25465                       270                       199                  55.35612                  10.00000 
                      482                  15.12767                  54.16145                       270                       242                  65.74236                   8.66025 
                      483                   8.04557                  42.10519                       221                       271                  15.32763                   7.07107 
                      484                  12.25090                  49.46763                       258                       271                   5.90746                   5.00000 
                      485                  13.45570                  64.41509                       272                       206                  75.38382                  11.18034 
                      486                  11.18200                  53.83706                       239                       272                  31.61627                   7.07107 
                      487                   8.90407                  81.59503                       245                       272                  44.35078                  11.18034 
                      488                   6.76801                  71.65704                       230                       273                   1.24465                   5.00000 
                      489                  11.53684                  60.81100                       275                       214                  36.00823                   8.66025 
                      490                  14.06396                  68.60930                       233                       275                  61.86086                  10.00000 
                      491                  11.25391                  58.87269                       276                       194                  75.17022                  11.18034 
                      492                  10.61652                  64.21266                       276                       202                  51.73668                  11.18034 
                      493                  14.24418                  77.51109                       276                       203                 115.88467                  11.18034 
                      494                   6.64635                  68.03660                       205                       276                   8.37803                   7.07107 
                      495                  19.27789                  55.23093                       256                       276                 486.55656                  15.00000 
                      496                  13.16258                  64.10634                       277                       221                  42.38601                   7.07107 
                      497                   6.24318                  77.65554                       277                       225                   0.97729                   5.00000 
                      498                  14.62583                  60.60441                       252                       277                  69.93400                  10.00000 
                      499                  16.44195                  66.27880                       278                       227                 215.14015                  12.24745 
                      500                  14.02857                  61.38513                       278                       251                  84.08206                  10.00000 
                      501                  14.65749                  56.94560                       265                       278                 119.10426                  11.18034 
                      502                   6.73363                  50.36326                       267                       279                   6.45153                   7.07107 
                      503                  15.38239                  58.07049                       280                       190                  79.68012                   8.66025 
                      504                   4.35792                  66.41981                       231                       280                   0.55673                   5.00000 
                      505                  15.08338                  41.00548                       281                       266                  62.20411                   7.07107 
                      506                   9.58134                  72.25304                       284                       223                  24.34467                   7.07107 
                      507                  13.75265                  60.38890                       232                       284                 101.39378                  10.00000 
                      508                  14.50684                  60.83922                       285                       237                 147.09003                  12.24745 
                      509                  18.03798                  59.10834                       244                       285                 265.02528                  12.24745 
                      510                   4.59585                  92.34398                       285                       262                   0.44536                   5.00000 
                      511                  14.88549                  76.34423                       287                       189                 154.04913                  12.24745 
                      512                   3.96867                  41.11938                       287                       234                   0.74581                   5.00000 
                      513                  12.58334                  59.98976                       287                       265                  17.47523                   7.07107 
                      514                  11.68406                  55.95591                       288                       216                  27.58024                   8.66025 
                      515                   2.68542                  15.94372                       218                       288                   0.88068                   5.00000 
                      516                   4.67586                  30.76184                       222                       288                   1.38387                   5.00000 
                      517                  11.18132                  61.25627                       289                       191                  76.62530                  12.24745 
                      518                  11.49582                  56.27791                       289                       246                  30.80232                   8.66025 
                      519                  20.14439                  47.96525                       289                       267                 442.94144                  14.14214 
                      520                  10.86479                  62.56037                       223                       290                  45.58817                  10.00000 
                      521                   2.65257                  58.95836                       236                       290                   4.89822                   7.07107 
                      522                  17.14770                  51.60363                       242                       290                  94.42732                  10.00000 
                      523                   2.76920                  38.58806                       261                       290                   0.38694                   5.00000 
                      524                  24.90836                  45.00659                       214                       291                1084.19152                  15.81139 
                      525                  13.47150                  73.05118                       291                       223                  14.87433                   7.07107 
                      526                   3.74481                  45.26443                       291                       254                   0.60324                   5.00000 
                      527                  17.34943                  47.82488                       275                       291                 160.87112                  11.18034 
                      528                   7.89246                  88.56747                       292                       212                   1.36942                   5.00000 
                      529                  16.13529                  61.03913                       220                       292                  63.37197                   8.66025 
                      530                  24.83152                  41.65396                       243                       292                 909.39138                  14.14214 
                      531                  14.35857                  67.70403                       292                       282                  92.73782                  11.18034 
                      532                   3.58314                  41.39018                       293                       220                   0.60397                   5.00000 
                      533                  11.37308                  60.07770                       293                       292                  63.36582                  10.00000 
                      534                   5.60996                  67.55601                       294                       258                   0.90707                   5.00000 
                      535                   9.95714                  49.68408                       264                       294                  13.46193                   7.07107 
                      536                   7.40170                  69.58435                       294                       271                   1.53298                   5.00000 
                      537                  13.10669                  62.16918                       295                       257                 170.65415                  11.18034 
                      538                  13.69423                  47.23510                       295                       263                 119.83101                  10.00000 
                      539                   2.41351                  51.65290                       297                       216                   0.21958                   5.00000 
                      540                   6.28616                  80.35520                       299                       157                  19.98129                  10.00000 
                      541                   8.42144                  78.97717                       299                       181                  21.35292                   8.66025 
                      542                   5.35815                  80.67489                       219                       299                   6.81865                   7.07107 
                      543                   7.33748                  64.74967                       299                       235                  23.76735                  10.00000 
                      544                   6.16321                  63.04562                       206                       300                   4.98394                   7.07107 
                      545                   5.56353                  55.53603                       300                       293                   1.08521                   5.00000 
                      546                   5.92095                  58.43632                       233                       301                   4.96265                   7.07107 
                      547                   2.69007                  58.07333                       300                       301                   0.24263                   5.00000 
                      548                  17.31864                  56.20317                       239                       302                 175.32386                  11.18034 
                      549                  13.34922                  55.90852                       229                       303                  46.68613                   8.66025 
                      550                  13.77685                  55.52989                       265                       303                  84.84350                  10.00000 
                      551                  15.94023                  71.16726                       190                       304                 173.21824                  15.81139 
                      552                  15.18576                  51.22915                       304                       245                 115.21624                  11.18034 
                      553                  19.59161                  54.73401                       266                       306                 295.62166                  11.18034 
                      554                  20.62808                  47.57774                       306                       273                 296.58792                  12.24745 
                      555                  12.91777                  57.05482                       306                       304                  23.26294                   7.07107 
                      556                   9.19794                  37.48978                       307                       267                  62.32025                   8.66025 
                      557                   2.12275                  37.83970                       307                       279                   0.23187                   5.00000 
                      558                   2.36909                  41.22172                       289                       307                   0.26511                   5.00000 
                      559                  11.26207                  71.16004                       309                       204                  10.36033                   7.07107 
                      560                  10.82936                  67.57147                       249                       309                  33.41129                   8.66025 
                      561                  12.62844                  38.76848                       310                       221                  50.84704                   7.07107 
                      562                   3.54061                  70.67159                       221                       311                   3.39874                   7.07107 
                      563                   4.82354                  69.48138                       311                       225                   0.65200                   5.00000 
                      564                  25.53344                  40.10888                       277                       311                 879.76446                  15.00000 
                      565                  10.52113                  53.70843                       311                       310                  23.10715                   7.07107 
                      566                   7.90653                  84.52881                       312                       208                   1.43997                   5.00000 
                      567                   9.74476                  67.85110                       251                       312                  18.05943                   7.07107 
                      568                  16.83557                  46.30240                       278                       313                 223.61275                  12.24745 
                      569                   3.93063                  51.73727                       313                       303                   0.58144                   5.00000 
                      570                  11.27077                  50.95515                       313                       312                  42.84188                  10.00000 
                      571                   9.28298                  52.02850                       157                       314                  31.23109                  10.00000 
                      572                   2.77664                  46.53991                       314                       235                   0.32255                   5.00000 
                      573                  13.81864                  57.68963                       299                       314                 120.55064                  10.00000 
                      574                   4.72114                 106.58926                       317                       220                   2.69836                   7.07107 
                      575                   5.59793                  71.20241                       275                       317                   0.85693                   5.00000 
                      576                  13.17252                  78.29374                       317                       291                  79.51628                   8.66025 
                      577                   9.30620                  69.18301                       317                       292                  21.78522                   7.07107 
                      578                  15.67606                  65.92198                       258                       318                 193.56728                  12.24745 
                      579                  23.62791                  49.70393                       271                       318                 645.85613                  15.00000 
                      580                   6.88632                  63.36839                       318                       285                   1.45709                   5.00000 
                      581                   4.60219                  39.33851                       319                       286                   1.04833                   5.00000 
                      582                   9.99193                  69.11963                       320                       246                   9.74434                   7.07107 
                      583                   9.06682                  70.17665                       320                       289                  20.38609                   7.07107 
                      584                   7.36054                  84.59203                       321                       198                   9.71617                   8.66025 
                      585                  18.47103                  50.37132                       299                       321                 459.49126                  15.00000 
                      586                   2.09257                  62.94004                       321                       314                   0.13546                   5.00000 
                      587                  10.92491                  73.84080                       322                       223                  64.07911                  11.18034 
                      588                  19.29120                  59.57925                       322                       236                 338.96088                  11.18034 
                      589                   2.71862                  39.89626                       322                       261                   0.36070                   5.00000 
                      590                  10.59533                  65.51291                       322                       290                  25.30776                   8.66025 
