                 #Pore_ID          Pore_Radius(mic)              Connectivity           Location_X(mic)           Location_Y(mic)           Location_Z(mic)              Inlet_Outlet     Pore_Radius_Insc(mic) 
                       78                  20.83314                         5                 491.02310                 364.33993                  38.31683                         0                  15.81139
                       79                   5.30392                         0                  87.00000                 500.00000                  79.00000                        -1                   5.00000
                       80                   9.74379                         2                 260.32258                  24.67742                  61.12903                         1                   5.00000
                       81                   4.47350                         2                 385.00000                 401.66667                  76.66667                         0                   5.00000
                       82                   5.93344                         1                 447.85714                 260.00000                  56.42857                         0                   5.00000
                       83                   8.55750                         4                 127.61905                 359.28571                  60.00000                         0                   5.00000
                       84                   3.10175                         1                 155.00000                  95.00000                  55.00000                         0                   5.00000
                       85                  21.83814                         8                 186.96275                 465.47278                  45.21490                         0                  15.81139
                       86                  26.32010                         9                 235.14730                 451.54664                  65.00818                         0                  18.70829
                       87                  21.36927                         6                 228.28746                 488.40979                  53.59327                        -1                  14.14214
                       88                   7.29326                         1                   7.69231                 320.76923                  62.69231                         0                   7.07107
                       89                   3.90796                         2                 155.00000                 497.50000                  50.00000                        -1                   5.00000
                       90                  23.64513                         6                 172.29120                 165.11287                  50.90293                         0                  16.58312
                       91                  14.44489                         3                 193.46535                 490.04950                  45.29703                        -1                  14.14214
                       92                  16.90877                         5                 268.85802                 286.82099                  59.41358                         0                  12.24745
                       93                   6.89824                         3                 409.09091                  19.54545                  48.18182                         1                   5.00000
                       94                  12.66028                         1                 493.16176                 230.14706                  59.55882                         0                  10.00000
                       95                  21.10461                         3                  27.22222                 463.12698                  58.50794                        -1                  14.14214
                       96                  27.63208                         9                  69.54738                 153.21782                  68.29562                         0                  18.70829
                       97                  25.14874                         9                 121.71670                 174.44653                  63.02064                         0                  15.00000
                       98                  17.98672                         2                 106.38462                 318.48718                  76.53846                         0                  11.18034
                       99                  29.67849                         6                 134.21233                 226.76941                  78.20205                         0                  15.81139
                      100                  17.18265                         5                 281.20588                 484.02941                  53.20588                        -1                  14.14214
                      101                  10.24176                         0                 284.58333                 378.47222                  61.25000                         0                   7.07107
                      102                  28.96111                         5                 352.52457                 199.26904                  66.66462                         0                  17.32051
                      103                  21.60625                         3                  29.20118                  41.47929                  73.23964                         1                  14.14214
                      104                  24.35317                         5                  20.77479                 363.48140                  62.91322                         0                  16.58312
                      105                  21.85898                         6                  49.65714                 229.50000                  68.71429                         0                  11.18034
                      106                  30.83029                         8                 165.30550                  49.63849                  82.09267                         1                  18.02776
                      107                  23.59163                         6                 287.79545                 455.56818                  63.21591                         0                  16.58312
                      108                  26.66030                         4                 331.31496                 370.76378                  80.09449                         0                  14.14214
                      109                   6.20350                         1                 401.87500                 138.75000                  80.62500                         0                   5.00000
                      110                  16.94350                         2                 475.03067                  53.03681                  63.89571                         0                  10.00000
                      111                  20.17056                         6                 489.16364                 163.87273                  76.18182                         0                  15.00000
                      112                  16.80375                         5                  68.58491                 455.66038                  60.91195                         0                  11.18034
                      113                  21.25980                         6                  83.89752                 373.75776                  74.72050                         0                  11.18034
                      114                  21.30372                         4                 101.99074                  14.42901                  83.65741                         1                  11.18034
                      115                   3.10175                         0                 220.00000                  85.00000                  55.00000                         0                   5.00000
                      116                  15.55001                         3                 246.82540                 169.52381                  66.62698                         0                  11.18034
                      117                  26.78566                         5                 299.29348                  90.49689                  78.71118                         0                  15.81139
                      118                  20.62479                         3                 344.69388                 156.87075                  69.59184                         0                  15.81139
                      119                  24.73298                         6                 394.64497                 325.67061                  65.38462                         0                  14.14214
                      120                   3.90796                         1                 500.00000                 390.00000                  47.50000                         0                   5.00000
                      121                  23.82172                         5                 480.46358                 482.08609                  74.75717                        -1                  15.00000
                      122                  26.44870                         6                 186.54032                 100.11290                  88.76613                         0                  18.02776
                      123                   3.10175                         1                 305.00000                 335.00000                  75.00000                         0                   5.00000
                      124                  29.42793                        10                 343.23770                 443.28454                  93.77635                         0                  12.24745
                      125                  21.66998                         6                 425.11730                  95.42522                  93.28446                         0                  12.24745
                      126                  29.50812                         7                 424.68641                 191.06272                  93.72822                         0                  15.00000
                      127                   7.10124                         3                 467.91667                 355.00000                  60.83333                         0                   7.07107
                      128                  23.76902                         8                  38.02222                 302.18889                 102.32222                         0                  11.18034
                      129                  10.69552                         3                 100.73171                 199.51220                 119.63415                         0                   7.07107
                      130                  24.65141                         8                 182.69920                 404.89044                  98.70518                         0                  11.18034
                      131                  14.49241                         1                 207.79412                 317.99020                  84.46078                         0                  11.18034
                      132                  22.28769                         6                 215.66038                 368.78706                  91.26685                         0                  11.18034
                      133                   7.29326                         1                 232.30769                 493.46154                  90.00000                        -1                   7.07107
                      134                   8.94700                         2                 327.29167                  42.70833                  75.41667                         1                   7.07107
                      135                  14.86180                         3                 458.81818                 443.63636                  95.63636                         0                  11.18034
                      136                  20.02279                         5                  16.44981                 156.69145                  77.41636                         0                  15.00000
                      137                  17.01251                         3                  17.48485                 487.57576                  96.27273                        -1                  14.14214
                      138                  28.90169                        10                 157.55871                 473.60939                 105.88999                        -1                  14.14214
                      139                  14.72544                         3                 165.37383                 367.38318                  73.55140                         0                  12.24745
                      140                  26.05906                        12                 215.01686                 221.61889                 100.64924                         0                  15.00000
                      141                  29.12621                         8                 443.39976                 305.56763                  91.13527                         0                  17.32051
                      142                  18.78126                         6                 489.45946                 340.15766                  85.78829                         0                  14.14214
                      143                  24.86239                         7                 230.08738                  68.34951                  92.86408                         0                  15.00000
                      144                  26.77179                         5                 256.79627                 249.54899                  90.56765                         0                  15.00000
                      145                  23.71608                         6                 275.13423                 200.99553                  80.81655                         0                  16.58312
                      146                  22.18711                         8                 420.23224                  12.32240                 114.71311                         1                  15.00000
                      147                  10.42802                         0                 493.94737                  12.63158                  76.97368                         1                   8.66025
                      148                  17.18265                         4                 117.61765                 153.73529                 106.61765                         0                  14.14214
                      149                   7.64958                         0                 175.33333                 290.33333                 102.33333                         0                   5.00000
                      150                   6.89824                         1                 200.45455                 498.63636                 119.09091                        -1                   8.66025
                      151                   7.29326                         3                 288.84615                  85.00000                 124.23077                         0                   7.07107
                      152                  28.01752                         8                 244.31479                 139.43012                 113.99593                         0                  15.00000
                      153                  22.46648                         5                 295.47368                 161.56579                 108.07895                         0                  16.58312
                      154                  28.09334                        10                 300.70659                 311.04980                 115.94886                         0                  15.00000
                      155                   8.27672                         3                 442.63158                 221.84211                 117.63158                         0                   8.66025
                      156                   3.90796                         1                 482.50000                  80.00000                 105.00000                         0                   5.00000
                      157                  15.12724                         3                  28.27586                  34.31034                 160.64655                         1                  11.18034
                      158                  25.91174                         8                  88.89365                 426.86964                  99.22813                         0                  16.58312
                      159                   3.90796                         3                 122.50000                 382.50000                 107.50000                         0                   5.00000
                      160                  24.13316                         7                 149.40552                 330.40340                 113.59873                         0                  16.58312
                      161                  17.86288                         3                 256.43979                  17.82723                 109.60733                         1                  11.18034
                      162                   9.06958                         1                 289.00000                 412.80000                 103.20000                         0                   7.07107
                      163                  18.75302                         5                 290.88235                 492.42081                 104.52489                        -1                  14.14214
                      164                  23.26544                         5                 332.81991                 256.49289                 105.68720                         0                  14.14214
                      165                  26.92360                         7                 388.82263                 354.54128                 104.22018                         0                  14.14214
                      166                  29.73485                         7                 375.15323                  58.27469                 115.16459                         0                  15.00000
                      167                  14.63312                         5                 397.28571                 302.47619                 108.61905                         0                  10.00000
                      168                  18.86548                         3                  20.82222                 379.64444                 112.64444                         0                  12.24745
                      169                   5.30392                         1                  85.00000                 349.00000                 112.00000                         0                   7.07107
                      170                  22.98645                         4                 115.23342                 257.56757                 119.17690                         0                  15.00000
                      171                   3.90796                         2                 290.00000                 262.50000                 112.50000                         0                   5.00000
                      172                  20.36429                         5                 400.98940                 251.55477                  93.40989                         0                  15.00000
                      173                  29.43941                         7                  23.32164                 207.15205                 111.54971                         0                  20.61553
                      174                  28.73401                         9                  71.02516                 172.61635                 115.13208                         0                  16.58312
                      175                  13.08060                         3                 113.73333                 101.93333                 115.20000                         0                  10.00000
                      176                  27.15489                         6                  70.15648                 471.51267                 116.09538                        -1                  15.81139
                      177                   3.90796                         1                  95.00000                 207.50000                 155.00000                         0                   5.00000
                      178                  16.80375                         3                 315.62893                  35.53459                 100.88050                         0                  12.24745
                      179                   3.90796                         0                 332.50000                 357.50000                 137.50000                         0                   5.00000
                      180                  17.34948                         1                 489.11429                 122.11429                 104.68571                         0                  12.24745
                      181                  24.65141                         3                  67.95817                  62.46016                 135.79681                         0                  14.14214
                      182                  20.19498                         5                 193.93116                 155.68841                 121.08696                         0                  12.24745
                      183                  14.49241                         3                 437.89216                 334.95098                 124.11765                         0                  10.00000
                      184                  14.67943                         4                 488.82075                 230.23585                  98.53774                         0                  12.24745
                      185                   7.64958                         0                 304.66667                 383.00000                 139.00000                         0                   5.00000
                      186                  10.86667                         2                 352.90698                 485.58140                 117.09302                        -1                   7.07107
                      187                  16.51706                         1                 376.95364                 141.12583                 117.18543                         0                  12.24745
                      188                  20.41215                         6                 450.14035                 261.01754                 135.71930                         0                  12.24745
                      189                  28.36793                         8                 476.03268                 198.49673                 131.83660                         0                  15.00000
                      190                  27.12788                         9                 424.35725                 476.33782                 145.50075                        -1                  15.00000
                      191                  26.78566                         4                 480.41925                  23.03571                 134.84472                         1                  15.00000
                      192                  23.02404                         4                 482.40831                 314.02200                 128.12958                         0                  16.58312
                      193                  12.14295                         2                 483.33333                 386.00000                 124.50000                         0                   7.07107
                      194                  11.11373                         2                 154.56522                  44.56522                 178.91304                         0                  11.18034
                      195                  28.67364                        11                 267.26582                 202.15823                 137.65823                         0                  15.00000
                      196                   3.90796                         1                 287.50000                  75.00000                 130.00000                         0                   5.00000
                      197                  15.95096                         3                 373.75000                  16.80147                 124.85294                         1                  12.24745
                      198                  24.25212                         5                  21.78870                 123.34728                 146.79916                         0                  15.00000
                      199                  22.38737                         5                  61.25000                 240.70479                 134.94681                         0                  15.00000
                      200                   4.92373                         1                  25.00000                 490.00000                 140.00000                        -1                   5.00000
                      201                   5.63626                         0                  56.66667                 322.50000                 169.16667                         0                   5.00000
                      202                   9.74379                         2                 187.74194                  79.67742                 166.61290                         0                   7.07107
                      203                  28.78212                         9                 173.89237                  53.24155                 135.12516                         1                  15.00000
                      204                  24.73298                         7                 189.42801                 197.65286                 140.47337                         0                  14.14214
                      205                  20.62479                         6                 230.98639                  50.27211                 140.98639                         1                  11.18034
                      206                  22.68120                         4                 206.34271                 489.53964                 157.03325                        -1                  15.81139
                      207                  22.92983                         3                 263.73762                 350.35891                 140.91584                         0                  14.14214
                      208                  16.02877                         3                 298.36957                 240.97826                 159.20290                         0                  11.18034
                      209                  28.66154                         3                 333.35234                 120.84918                 141.07731                         0                  16.58312
                      210                  24.55280                         8                 341.78427                 171.84476                 144.82863                         0                  15.00000
                      211                  10.51870                         2                 355.89744                 234.74359                 145.76923                         0                   7.07107
                      212                  24.45339                         5                  27.83673                 425.86735                 152.24490                         0                  15.00000
                      213                  25.98561                         4                 118.07823                 379.89796                 144.40476                         0                  15.81139
                      214                  29.09099                         6                 114.21818                 340.78788                 155.12121                         0                  15.81139
                      215                  26.50546                         7                 226.43429                 251.71474                 148.27724                         0                  18.02776
                      216                  25.52068                        10                 446.35548                 152.02873                 147.19031                         0                  15.00000
                      217                  18.19942                         2                 399.87624                 415.49505                 133.91089                         0                  10.00000
                      218                   6.20350                         2                 478.75000                 155.62500                 187.50000                         0                   5.00000
                      219                  18.75302                         3                  65.58824                  18.39367                 163.68778                         1                  12.24745
                      220                  14.44489                         5                 112.82178                 471.23762                 163.46535                        -1                  10.00000
                      221                  16.06739                         5                 274.42446                  94.46043                 192.26619                         0                   8.66025
                      222                  12.40701                         2                 496.40625                 129.84375                 159.53125                         0                  11.18034
                      223                  27.36903                         8                  57.74381                 295.45852                 157.86026                         0                  12.24745
                      224                  26.04440                         4                 138.66554                 192.44088                 152.22128                         0                  15.00000
                      225                  22.66185                         6                 298.14103                  31.11538                 147.08974                         1                  14.14214
                      226                   8.82097                         2                 331.95652                  69.13043                 145.86957                         0                   7.07107
                      227                  25.61199                         6                 365.56838                 275.49734                 148.03730                         0                  14.14214
                      228                   9.30526                         1                 373.33333                 394.44444                 157.77778                         0                   7.07107
                      229                  29.38192                        10                 404.45294                 220.01765                 153.20000                         0                  15.00000
                      230                  18.25929                         3                 387.08333                 350.80882                 152.10784                         0                  11.18034
                      231                  12.47130                         2                 492.53846                 495.84615                 148.92308                        -1                  12.24745
                      232                  14.67943                         4                 153.16038                 271.17925                 164.29245                         0                  10.00000
                      233                  27.08727                         6                 199.36937                 372.56006                 170.01502                         0                  18.02776
                      234                   3.90796                         1                 465.00000                 225.00000                 172.50000                         0                   5.00000
                      235                  10.24176                         3                  32.36111                  51.66667                 166.66667                         0                  10.00000
                      236                  24.73298                         6                  23.57002                 334.23077                 176.40039                         0                  14.14214
                      237                  21.25980                         2                 106.80124                 128.36957                 162.71739                         0                  14.14214
                      238                   8.82097                         3                 233.91304                 434.78261                 158.47826                         0                   5.00000
                      239                  31.17184                         5                 288.63547                 442.71429                 174.63054                         0                  15.81139
                      240                   4.47350                         1                 316.66667                 438.33333                 130.00000                         0                   5.00000
                      241                   9.41875                         0                 498.92857                 355.35714                 181.78571                         0                   8.66025
                      242                  17.98672                         3                  18.17949                 241.35897                 171.41026                         0                  11.18034
                      243                  20.02279                         2                  99.55390                 415.91078                 184.01487                         0                  15.00000
                      244                  21.60625                         7                 153.18047                 156.92308                 158.49112                         0                  15.00000
                      245                  27.23558                         4                 334.63811                 484.51994                 180.48744                        -1                  16.58312
                      246                  19.84758                         4                 456.29771                  93.81679                 165.38168                         0                  11.18034
                      247                  10.60784                         2                 496.00000                 414.00000                 163.50000                         0                  11.18034
                      248                  14.34891                         1                  63.78788                 373.08081                 191.46465                         0                  10.00000
                      249                  25.25835                         4                 191.61111                 281.17593                 172.64815                         0                  15.00000
                      250                   4.47350                         1                 271.66667                 271.66667                 178.33333                         0                   5.00000
                      251                  25.02228                         6                 344.34286                 299.87619                 176.52381                         0                  15.00000
                      252                  22.12633                         6                 381.15702                  45.95041                 177.06612                         1                  11.18034
                      253                  24.55280                         3                 419.24395                 115.75605                 183.41734                         0                  14.14214
                      254                   4.92373                         1                  82.50000                 295.00000                 197.50000                         0                   5.00000
                      255                   6.20350                         2                 202.50000                 137.50000                 166.25000                         0                   5.00000
                      256                  21.45605                         3                 247.79456                  12.96073                 167.38671                         1                  20.00000
                      257                  27.43527                         6                 235.56358                 313.06358                 187.86127                         0                  12.24745
                      258                  21.54213                         5                 247.20896                 169.92537                 177.91045                         0                  14.14214
                      259                  13.02220                         2                 328.04054                 350.27027                 195.81081                         0                  10.00000
                      260                  20.85603                         2                 485.87171                 273.02632                 179.29276                         0                  14.14214
                      261                   5.93344                         3                  21.42857                 319.28571                 212.14286                         0                   5.00000
                      262                  17.83166                         3                 116.39474                  29.86842                 178.31579                         1                  10.00000
                      263                  21.43442                         6                 290.87879                 308.01515                 185.89394                         0                  12.24745
                      264                  25.85235                         5                 311.91710                 186.44214                 178.54059                         0                  15.81139
                      265                  28.60086                         6                 435.35077                 248.89031                 193.33546                         0                  14.14214
                      266                  22.28769                         2                 435.56604                 393.28841                 179.97305                         0                  11.18034
                      267                  25.92655                         6                 452.41438                  19.64897                 175.15411                         1                  18.70829
                      268                   8.12889                         1                 498.05556                 423.61111                 174.16667                         0                   8.66025
                      269                  20.60138                         3                  16.46758                 168.78840                 189.96587                         0                  15.00000
                      270                  27.40881                         4                  59.63768                 210.10145                 186.82609                         0                  14.14214
                      271                  24.01300                         5                 245.53879                 124.61207                 197.68319                         0                  15.81139
                      272                  21.56355                         4                 255.10417                 478.06548                 197.52976                        -1                  14.14214
                      273                  27.78754                         2                 363.83866                 399.99305                 198.74826                         0                  18.02776
                      274                   8.82097                         0                 133.69565                 230.43478                 202.39130                         0                   5.00000
                      275                  23.24705                         5                 151.48456                 336.09264                 202.94537                         0                  15.00000
                      276                  26.66030                         7                 206.87402                  28.86614                 200.89764                         1                  18.02776
                      277                  24.86239                         6                 332.94175                  71.00971                 203.90291                         0                  15.00000
                      278                  25.25835                         4                 399.35185                 292.02778                 202.61111                         0                  14.14214
                      279                  16.73300                         3                 425.85987                  10.57325                 216.97452                         1                  14.14214
                      280                  19.00421                         4                 456.71739                 457.97826                 190.08696                        -1                  12.24745
                      281                  10.33573                         1                 457.29730                 359.32432                 187.43243                         0                   7.07107
                      282                  22.08562                         2                  41.80055                 486.77285                 191.14958                        -1                  11.18034
                      283                   3.10175                         0                  95.00000                 145.00000                 210.00000                         0                   5.00000
                      284                  24.71671                         3                 107.77668                 271.45257                 204.13043                         0                  15.00000
                      285                  29.51954                         5                 154.42575                 111.95476                 196.83295                         0                  16.58312
                      286                   3.90796                         1                 475.00000                 305.00000                 192.50000                         0                   5.00000
                      287                  27.18184                         5                 475.27489                 206.50074                 207.75632                         0                  14.14214
                      288                   7.97548                         3                 485.29412                 141.17647                 185.88235                         0                   8.66025
                      289                  21.73335                         5                 485.40698                  51.70058                 188.75000                         0                  15.81139
                      290                  22.62304                         6                  16.58505                 282.10052                 203.04124                         0                  15.00000
                      291                  27.95401                         7                 103.87978                 334.88388                 198.52459                         0                  18.70829
                      292                  29.43941                        11                  89.63743                 444.13450                 213.00000                         0                  14.14214
                      293                  13.19585                         4                 125.38961                 490.06494                 198.11688                        -1                  10.00000
                      294                  18.89339                         5                 299.33628                 162.54425                 220.24336                         0                  11.18034
                      295                  23.42967                         6                 282.08817                 344.80278                 214.18794                         0                  15.00000
                      296                  12.96328                         1                 370.06849                 345.20548                 212.94521                         0                   8.66025
                      297                   3.10175                         1                 425.00000                 180.00000                 185.00000                         0                   5.00000
                      298                   3.90796                         1                   7.50000                 435.00000                 200.00000                         0                   5.00000
                      299                  23.75140                         8                  66.32517                  82.96214                 212.04900                         0                  15.00000
                      300                  22.98645                         4                 177.71499                 477.57985                 211.91646                        -1                  14.14214
                      301                  13.74401                         3                 195.91954                 424.77011                 196.03448                         0                  10.00000
                      302                  20.71791                         2                 259.34564                 406.25839                 205.80537                         0                  15.00000
                      303                  18.13916                         5                 392.42500                 216.72500                 207.70000                         0                  12.24745
                      304                  18.78126                         5                 380.85586                 478.60360                 201.77928                        -1                  15.81139
                      305                   5.30392                         1                 437.00000                 273.00000                 241.00000                         0                   5.00000
                      306                  22.24757                         4                 402.35772                 426.17886                 208.45528                         0                  15.00000
                      307                   7.64958                         3                 456.33333                  32.00000                 210.33333                         0                   5.00000
                      308                   5.63626                         1                 475.83333                 485.00000                 211.66667                         0                   5.00000
                      309                  20.50720                         5                 194.87889                 222.94118                 206.76471                         0                  15.00000
                      310                  10.14604                         3                 266.85714                  68.00000                 219.57143                         0                   7.07107
                      311                  23.06151                         5                 311.67883                  38.79562                 214.80535                         1                  15.00000
                      312                  24.61863                         6                 337.75000                 260.52000                 231.40000                         0                  15.00000
                      313                  17.41532                         3                 388.58757                 260.59322                 234.85876                         0                  14.14214
                      314                  18.28908                         6                  24.46341                  43.26829                 211.75610                         0                  11.18034
                      315                   7.64958                         1                  35.33333                   6.00000                 249.00000                         1                   7.07107
                      316                  15.17059                         0                 102.99145                 196.15385                 236.53846                         0                   8.66025
                      317                  20.12155                         7                 133.95604                 396.44689                 236.41026                         0                  10.00000
                      318                  21.98318                         6                 204.91573                 142.26124                 220.23876                         0                  12.24745
                      319                  17.67385                         3                 486.37838                 329.89189                 220.75676                         0                  10.00000
                      320                  29.42793                         7                 483.68852                 110.81967                 226.52225                         0                  15.81139
                      321                  23.82172                         4                  23.73068                 103.77483                 229.07285                         0                  16.58312
                      322                  25.52068                         8                  58.48294                 327.78276                 224.24596                         0                  12.24745
                      323                  19.16804                         2                 238.98305                 259.00424                 227.94492                         0                  11.18034
                      324                  28.49100                         6                 371.61935                 178.96129                 236.09677                         0                  14.14214
                      325                  19.92305                         6                  33.09434                 460.52830                 228.88679                         0                  14.14214
                      326                  20.09695                         7                 361.65441                 121.54412                 226.61765                         0                  12.24745
                      327                   8.55750                         1                   7.14286                 498.33333                 254.52381                        -1                  10.00000
                      328                  14.77118                         3                  16.25000                 244.30556                 219.72222                         0                  11.18034
                      329                  11.42695                         2                  47.70000                 223.80000                 236.80000                         0                   8.66025
                      330                  20.69471                         3                 125.72391                 136.01010                 248.04714                         0                  15.00000
                      331                   8.82097                         4                 167.39130                  68.04348                 248.04348                         0                   5.00000
                      332                  27.47485                         6                 153.15827                 167.12950                 241.43165                         0                  14.14214
                      333                  30.16730                         9                 209.16304                 395.75000                 237.97283                         0                  15.00000
                      334                   4.47350                         1                 205.00000                  26.66667                 243.33333                         1                   5.00000
                      335                   3.10175                         1                 245.00000                 350.00000                 215.00000                         0                   5.00000
                      336                   4.47350                         2                 288.33333                 421.66667                 250.00000                         0                   5.00000
                      337                  18.01742                         5                 406.09694                  65.45918                 228.75000                         0                  10.00000
                      338                  24.13316                         5                 479.19321                 417.26115                 237.25053                         0                  14.14214
                      339                  12.66028                         2                  14.85294                  50.00000                 252.50000                         0                  14.14214
                      340                  22.30770                         8                  95.98118                 364.47581                 244.22043                         0                  11.18034
                      341                  21.14918                         3                 123.64353                 476.90852                 231.07256                        -1                  14.14214
                      342                  28.87786                         7                 150.58240                  21.18959                 249.84511                         1                  18.70829
                      343                   4.92373                         1                 235.00000                 171.25000                 250.00000                         0                   5.00000
                      344                  25.05402                         5                 301.05313                 454.25047                 235.44592                         0                  15.00000
